学号：16031225， 成绩：21
学号：17113123， 成绩：12
学号：18120301， 成绩：12
学号：18120303， 成绩：22
学号：18120304， 成绩：22
学号：18120306， 成绩：17
学号：18120307， 成绩：18
学号：18120308， 成绩：18
学号：18120310， 成绩：18
学号：18120311， 成绩：20
学号：18120312， 成绩：18
学号：18120313， 成绩：17
学号：18120314， 成绩：20
学号：18120316， 成绩：19
学号：18120317， 成绩：20
学号：18120318， 成绩：19
学号：18120319， 成绩：20
学号：18120320， 成绩：16
学号：18120321， 成绩：16
学号：18120322， 成绩：17
学号：18120323， 成绩：18
学号：18120324， 成绩：17
学号：18120325， 成绩：18
学号：18120326， 成绩：18
学号：18120327， 成绩：22
学号：18120328， 成绩：17
学号：18120329， 成绩：20
学号：18120330， 成绩：17
学号：18120331， 成绩：16
学号：18120332， 成绩：19
学号：18120333， 成绩：16
学号：18120334， 成绩：17
学号：18120335， 成绩：19
学号：18120337， 成绩：19
学号：18120338， 成绩：17
学号：18120339， 成绩：20
学号：18120340， 成绩：13
学号：18120341， 成绩：15
学号：18120342， 成绩：13
学号：18120344， 成绩：15
学号：18120345， 成绩：18
学号：18120346， 成绩：14
学号：18120348， 成绩：18
学号：18120349， 成绩：17
学号：18120350， 成绩：15
学号：18120351， 成绩：19
学号：18120352， 成绩：20
学号：18120353， 成绩：18
学号：18120354， 成绩：20
学号：18120355， 成绩：16
学号：18120357， 成绩：18
学号：18120358， 成绩：15
学号：18120359， 成绩：17
学号：1812036， 成绩：16
学号：18120360， 成绩：20
学号：18120361， 成绩：19
学号：18120362， 成绩：14
学号：18120364， 成绩：15
学号：18120365， 成绩：18
学号：18120366， 成绩：19
学号：18120367， 成绩：16
学号：18120368， 成绩：17
学号：18120369， 成绩：19
学号：18120370， 成绩：19
学号：18120371， 成绩：19
学号：18120372， 成绩：17
学号：18120373， 成绩：16
学号：18120374， 成绩：16
